vocab_size,model_type,text_column,ngram,accuracy_round1,accuracy_round2
8196,MultinomialNB(),text_lancaster_stemmed,"(1, 2)",0.7525,0.7759
16384,MultinomialNB(),text_porter_stemmed,"(1, 3)",0.7505,0.77565
16384,MultinomialNB(),text_porter_stemmed,"(1, 2)",0.7505,0.77535
16384,MultinomialNB(),text_porter_stemmed,"(1, 4)",0.751,0.77385
8196,MultinomialNB(),text_porter_stemmed,"(1, 2)",0.752,0.7735
8196,MultinomialNB(),text_lancaster_stemmed,"(1, 3)",0.7485,0.7728
16384,MultinomialNB(),text_lancaster_stemmed,"(1, 3)",0.751,0.7707
16384,MultinomialNB(),text_lancaster_stemmed,"(1, 2)",0.748,0.77
8196,MultinomialNB(),text_porter_stemmed,"(1, 4)",0.7515,0.769
1024,MultinomialNB(),text_porter_stemmed,"(1, 1)",0.7485,0.7546
